-5.727	5.397	1.9321	0.3478	0.3544	0.3511
-5.69	5.397	2.2865	0.3544	0.3612	0.3578
-5.653	5.397	2.6477	0.3612	0.368	0.3646
-5.617	5.397	3.0157	0.368	0.3748	0.3714
-5.58	5.397	3.3905	0.3748	0.3818	0.3783
-5.543	5.397	3.7723	0.3818	0.3887	0.38525
-5.506	5.397	4.161	0.3887	0.3957	0.3922
-5.469	5.397	4.5567	0.3957	0.4028	0.39925
-5.432	5.397	4.9595	0.4028	0.41	0.4064
-5.396	5.397	5.3695	0.41	0.417	0.4135
-5.359	5.397	5.7865	0.417	0.4242	0.4206
-5.322	5.397	6.2107	0.4242	0.4314	0.4278
-5.285	5.397	6.6421	0.4314	0.4387	0.43505
-5.248	5.397	7.0808	0.4387	0.4459	0.4423
-5.211	5.397	7.5267	0.4459	0.4531	0.4495
-5.175	5.397	7.9798	0.4531	0.4605	0.4568
-5.138	5.397	8.4403	0.4605	0.4677	0.4641
-5.101	5.397	8.908	0.4677	0.475	0.47135
-5.064	5.397	9.383	0.475	0.4823	0.47865
-5.027	5.397	9.8653	0.4823	0.4896	0.48595
-4.99	5.397	10.3549	0.4896	0.4968	0.4932
-4.954	5.397	10.8517	0.4968	0.5041	0.50045
-4.917	5.397	11.3558	0.5041	0.5113	0.5077
-4.88	5.397	11.8671	0.5113	0.5185	0.5149
-4.843	5.397	12.3856	0.5185	0.5256	0.52205
-4.806	5.397	12.9112	0.5256	0.5327	0.52915
-4.769	5.397	13.4439	0.5327	0.5397	0.5362
-4.733	5.397	13.9836	0.5397	0.5468	0.54325
-4.696	5.397	14.5304	0.5468	0.5536	0.5502
-4.659	5.397	15.084	0.5536	0.5605	0.55705
-4.622	5.397	15.6445	0.5605	0.5672	0.56385
-4.585	5.397	16.2117	0.5672	0.5739	0.57055
-4.549	5.397	16.7856	0.5739	0.5804	0.57715
-4.512	5.397	17.366	0.5804	0.5869	0.58365
-4.475	5.397	17.9529	0.5869	0.5932	0.59005
-4.438	5.397	18.5461	0.5932	0.5995	0.59635
-4.401	5.397	19.1456	0.5995	0.6055	0.6025
-4.364	5.397	19.7511	0.6055	0.6115	0.6085
-4.328	5.397	20.3626	0.6115	0.6173	0.6144
-4.291	5.397	20.9799	0.6173	0.6229	0.6201
-4.254	5.397	21.6028	0.6229	0.6284	0.62565
-4.217	5.397	22.2312	0.6284	0.6336	0.631
-4.18	5.397	22.8648	0.6336	0.6388	0.6362
-4.143	5.397	23.5036	0.6388	0.6438	0.6413
-4.107	5.397	24.1474	0.6438	0.6484	0.6461
-4.07	5.397	24.7958	0.6484	0.653	0.6507
-4.033	5.397	25.4488	0.653	0.6574	0.6552
-3.996	5.397	26.1062	0.6574	0.6614	0.6594
-3.959	5.397	26.7676	0.6614	0.6652	0.6633
-3.922	5.397	27.4328	0.6652	0.669	0.6671
-3.886	5.397	28.1018	0.669	0.6723	0.67065
-3.849	5.397	28.7741	0.6723	0.6754	0.67385
-3.812	5.397	29.4495	0.6754	0.6783	0.67685
-3.775	5.397	30.1278	0.6783	0.681	0.67965
-3.738	5.397	30.8088	0.681	0.6834	0.6822
-3.701	5.397	31.4922	0.6834	0.6854	0.6844
-3.665	5.397	32.1776	0.6854	0.6872	0.6863
-3.628	5.397	32.8648	0.6872	0.6888	0.688
-3.591	5.397	33.5536	0.6888	0.69	0.6894
-3.554	5.397	34.2436	0.69	0.691	0.6905
-3.517	5.397	34.9346	0.691	0.6917	0.69135
-3.48	5.397	35.6263	0.6917	0.6921	0.6919
-3.444	5.397	36.3184	0.6921	0.6921	0.6921
-3.407	5.397	37.0105	0.6921	0.692	0.69205
-3.37	5.397	37.7025	0.692	0.6914	0.6917
-3.333	5.397	38.3939	0.6914	0.6906	0.691
-3.296	5.397	39.0845	0.6906	0.6895	0.69005
-3.259	5.397	39.774	0.6895	0.6881	0.6888
-3.223	5.397	40.4621	0.6881	0.6863	0.6872
-3.186	5.397	41.1484	0.6863	0.6844	0.68535
-3.149	5.397	41.8328	0.6844	0.6821	0.68325
-3.112	5.397	42.5149	0.6821	0.6794	0.68075
-3.075	5.397	43.1943	0.6794	0.6766	0.678
-3.038	5.397	43.8709	0.6766	0.6734	0.675
-3.002	5.397	44.5443	0.6734	0.6699	0.67165
-2.965	5.397	45.2142	0.6699	0.6662	0.66805
-2.928	5.397	45.8804	0.6662	0.6622	0.6642
-2.891	5.397	46.5426	0.6622	0.6579	0.66005
-2.854	5.397	47.2005	0.6579	0.6533	0.6556
-2.817	5.397	47.8538	0.6533	0.6485	0.6509
-2.781	5.397	48.5023	0.6485	0.6435	0.646
-2.744	5.397	49.1458	0.6435	0.6381	0.6408
-2.707	5.397	49.7839	0.6381	0.6326	0.63535
-2.67	5.397	50.4165	0.6326	0.6268	0.6297
-2.633	5.397	51.0433	0.6268	0.6207	0.62375
-2.597	5.397	51.664	0.6207	0.6145	0.6176
-2.56	5.397	52.2785	0.6145	0.6081	0.6113
-2.523	5.397	52.8866	0.6081	0.6014	0.60475
-2.486	5.397	53.488	0.6014	0.5945	0.59795
-2.449	5.397	54.0825	0.5945	0.5875	0.591
-2.412	5.397	54.67	0.5875	0.5802	0.58385
-2.376	5.397	55.2502	0.5802	0.5729	0.57655
-2.339	5.397	55.8231	0.5729	0.5652	0.56905
-2.302	5.397	56.3883	0.5652	0.5576	0.5614
-2.265	5.397	56.9459	0.5576	0.5496	0.5536
-2.228	5.397	57.4955	0.5496	0.5417	0.54565
-2.191	5.397	58.0372	0.5417	0.5335	0.5376
-2.155	5.397	58.5707	0.5335	0.5252	0.52935
-2.118	5.397	59.0959	0.5252	0.5168	0.521
-2.081	5.397	59.6127	0.5168	0.5083	0.51255
-2.044	5.397	60.121	0.5083	0.4997	0.504
-2.007	5.397	60.6207	0.4997	0.491	0.49535
-1.97	5.397	61.1117	0.491	0.4822	0.4866
-1.934	5.397	61.5939	0.4822	0.4733	0.47775
-1.897	5.397	62.0672	0.4733	0.4644	0.46885
-1.86	5.397	62.5316	0.4644	0.4554	0.4599
-1.823	5.397	62.987	0.4554	0.4463	0.45085
-1.786	5.397	63.4333	0.4463	0.4371	0.4417
-1.749	5.397	63.8704	0.4371	0.428	0.43255
-1.713	5.397	64.2984	0.428	0.4188	0.4234
-1.676	5.397	64.7172	0.4188	0.4095	0.41415
-1.639	5.397	65.1267	0.4095	0.4003	0.4049
-1.602	5.397	65.527	0.4003	0.3909	0.3956
-1.565	5.397	65.9179	0.3909	0.3816	0.38625
-1.528	5.397	66.2995	0.3816	0.3722	0.3769
-1.492	5.397	66.6717	0.3722	0.3629	0.36755
-1.455	5.397	67.0346	0.3629	0.3535	0.3582
-1.418	5.397	67.3881	0.3535	0.3441	0.3488
-1.381	5.397	67.7322	0.3441	0.3348	0.33945
-1.344	5.397	68.067	0.3348	0.3254	0.3301
-1.307	5.397	68.3924	0.3254	0.316	0.3207
-1.271	5.397	68.7084	0.316	0.3066	0.3113
-1.234	5.397	69.015	0.3066	0.2973	0.30195
-1.197	5.397	69.3123	0.2973	0.288	0.29265
-1.16	5.397	69.6003	0.288	0.2786	0.2833
-1.123	5.397	69.8789	0.2786	0.2694	0.274
-1.086	5.397	70.1483	0.2694	0.26	0.2647
-1.05	5.397	70.4083	0.26	0.2508	0.2554
-1.013	5.397	70.6591	0.2508	0.2416	0.2462
-0.976	5.397	70.9007	0.2416	0.2323	0.23695
-0.939	5.397	71.133	0.2323	0.2231	0.2277
-0.902	5.397	71.3561	0.2231	0.214	0.21855
-0.866	5.397	71.5701	0.214	0.2048	0.2094
-0.829	5.397	71.7749	0.2048	0.1956	0.2002
-0.792	5.397	71.9705	0.1956	0.1866	0.1911
-0.755	5.397	72.1571	0.1866	0.1775	0.18205
-0.718	5.397	72.3346	0.1775	0.1685	0.173
-0.681	5.397	72.5031	0.1685	0.1594	0.16395
-0.645	5.397	72.6625	0.1594	0.1504	0.1549
-0.608	5.397	72.8129	0.1504	0.1414	0.1459
-0.571	5.397	72.9543	0.1414	0.1325	0.13695
-0.534	5.397	73.0868	0.1325	0.1236	0.12805
-0.497	5.397	73.2104	0.1236	0.1146	0.1191
-0.46	5.397	73.325	0.1146	0.1057	0.11015
-0.424	5.397	73.4307	0.1057	0.0969	0.1013
-0.387	5.397	73.5276	0.0969	0.088	0.09245
-0.35	5.397	73.6156	0.088	0.0791	0.08355
-0.313	5.397	73.6947	0.0791	0.0703	0.0747
-0.276	5.397	73.765	0.0703	0.0615	0.0659
-0.239	5.397	73.8265	0.0615	0.0527	0.0571
-0.203	5.397	73.8792	0.0527	0.0439	0.0483
-0.166	5.397	73.9231	0.0439	0.0351	0.0395
-0.129	5.397	73.9582	0.0351	0.0263	0.0307
-0.092	5.397	73.9845	0.0263	0.0176	0.02195
-0.055	5.397	74.0021	0.0176	0.0087	0.01315
-0.018	5.397	74.0108	0.0087	0	0.00435
0.018	5.397	74.0108	0	-0.0087	-0.00435
0.055	5.397	74.0021	-0.0087	-0.0176	-0.01315
0.092	5.397	73.9845	-0.0176	-0.0263	-0.02195
0.129	5.397	73.9582	-0.0263	-0.0351	-0.0307
0.166	5.397	73.9231	-0.0351	-0.0439	-0.0395
0.203	5.397	73.8792	-0.0439	-0.0527	-0.0483
0.239	5.397	73.8265	-0.0527	-0.0615	-0.0571
0.276	5.397	73.765	-0.0615	-0.0703	-0.0659
0.313	5.397	73.6947	-0.0703	-0.0791	-0.0747
0.35	5.397	73.6156	-0.0791	-0.088	-0.08355
0.387	5.397	73.5276	-0.088	-0.0969	-0.09245
0.424	5.397	73.4307	-0.0969	-0.1057	-0.1013
0.46	5.397	73.325	-0.1057	-0.1146	-0.11015
0.497	5.397	73.2104	-0.1146	-0.1236	-0.1191
0.534	5.397	73.0868	-0.1236	-0.1325	-0.12805
0.571	5.397	72.9543	-0.1325	-0.1414	-0.13695
0.608	5.397	72.8129	-0.1414	-0.1504	-0.1459
0.645	5.397	72.6625	-0.1504	-0.1594	-0.1549
0.681	5.397	72.5031	-0.1594	-0.1685	-0.16395
0.718	5.397	72.3346	-0.1685	-0.1775	-0.173
0.755	5.397	72.1571	-0.1775	-0.1866	-0.18205
0.792	5.397	71.9705	-0.1866	-0.1956	-0.1911
0.829	5.397	71.7749	-0.1956	-0.2048	-0.2002
0.866	5.397	71.5701	-0.2048	-0.214	-0.2094
0.902	5.397	71.3561	-0.214	-0.2231	-0.21855
0.939	5.397	71.133	-0.2231	-0.2323	-0.2277
0.976	5.397	70.9007	-0.2323	-0.2416	-0.23695
1.013	5.397	70.6591	-0.2416	-0.2508	-0.2462
1.05	5.397	70.4083	-0.2508	-0.26	-0.2554
1.086	5.397	70.1483	-0.26	-0.2694	-0.2647
1.123	5.397	69.8789	-0.2694	-0.2786	-0.274
1.16	5.397	69.6003	-0.2786	-0.288	-0.2833
1.197	5.397	69.3123	-0.288	-0.2973	-0.29265
1.234	5.397	69.015	-0.2973	-0.3066	-0.30195
