Time [ms],Trace [mG]
-0.999744,0.370248
-0.999232,0.318255
-0.99872,0.261388
-0.998208,0.204157
-0.997696,0.150525
-0.997184,0.103739
-0.996672,0.0661023
-0.99616,0.0388963
-0.995648,0.0215519
-0.995136,0.0211143
-0.994624,0.032436
-0.994112,0.0488326
-0.9936,0.0632391
-0.993088,0.0694873
-0.992576,0.0634943
-0.992064,0.043881
-0.991552,0.0124087
-0.99104,-0.0269169
-0.990528,-0.0689164
-0.990016,-0.108368
-0.989504,-0.140855
-0.988992,-0.163415
-0.98848,-0.175326
-0.987968,-0.177831
-0.987456,-0.17343
-0.986944,-0.164927
-0.986432,-0.154727
-0.98592,-0.144698
-0.985408,-0.135403
-0.984896,-0.126207
-0.984384,-0.115281
-0.983872,-0.100554
-0.98336,-0.0802757
-0.982848,-0.05337
-0.982336,-0.0200566
-0.981824,0.0180327
-0.981312,0.0574737
-0.9808,0.0940541
-0.980288,0.123368
-0.979776,0.141808
-0.979264,0.146715
-0.978752,0.136824
-0.97824,0.112826
-0.977728,0.0774239
-0.977216,0.0347961
-0.976704,-0.0107419
-0.976192,-0.0550522
-0.97568,-0.0943883
-0.975168,-0.125372
-0.974656,-0.145782
-0.974144,-0.154939
-0.973632,-0.153567
-0.97312,-0.143215
-0.972608,-0.125886
-0.972096,-0.104266
-0.971584,-0.0816504
-0.971072,-0.0613446
-0.97056,-0.0453353
-0.970048,-0.0337337
-0.969536,-0.0249358
-0.969024,-0.0161495
-0.968512,-0.00365892
-0.968,0.0167939
-0.967488,0.0485047
-0.966976,0.0923224
-0.966464,0.145554
-0.965952,0.202644
-0.96544,0.256295
-0.964928,0.298792
-0.964416,0.323537
-0.963904,0.326641
-0.963392,0.308777
-0.96288,0.275152
-0.962368,0.234479
-0.961856,0.196593
-0.961344,0.170577
-0.960832,0.163096
-0.96032,0.176749
-0.959808,0.20928
-0.959296,0.253788
-0.958784,0.301088
-0.958272,0.341699
-0.95776,0.367485
-0.957248,0.372584
-0.956736,0.354326
-0.956224,0.313848
-0.955712,0.255063
-0.9552,0.183329
-0.954688,0.103879
-0.954176,0.0216431
-0.953664,-0.0585707
-0.953152,-0.1322
-0.95264,-0.195066
-0.952128,-0.24366
-0.951616,-0.274422
-0.951104,-0.283974
-0.950592,-0.269877
-0.95008,-0.231717
-0.949568,-0.171676
-0.949056,-0.0939761
-0.948544,-0.00473917
-0.948032,0.0887205
-0.94752,0.178495
-0.947008,0.2574
-0.946496,0.320303
-0.945984,0.364575
-0.945472,0.390315
-0.94496,0.399722
-0.944448,0.39666
-0.943936,0.385869
-0.943424,0.372008
-0.942912,0.359043
-0.9424,0.349383
-0.941888,0.343834
-0.941376,0.341516
-0.940864,0.340243
-0.940352,0.337174
-0.93984,0.329263
-0.939328,0.314283
-0.938816,0.291207
-0.938304,0.261103
-0.937792,0.227072
-0.93728,0.193825
-0.936768,0.166841
-0.936256,0.151245
-0.935744,0.151149
-0.935232,0.168247
-0.93472,0.201292
-0.934208,0.24569
-0.933696,0.294551
-0.933184,0.339986
-0.932672,0.374342
-0.93216,0.391498
