-0.999496,0.109091
-0.998488,0.0986514
-0.99748,0.085828
-0.996472,0.070836
-0.995464,0.0535685
-0.994456,0.0339856
-0.993448,0.0118511
-0.99244,-0.0130232
-0.991431,-0.0410389
-0.990423,-0.0693692
-0.989415,-0.097177
-0.988407,-0.123641
-0.987399,-0.147555
-0.986391,-0.167808
-0.985383,-0.183131
-0.984375,-0.192624
-0.983367,-0.195892
-0.982359,-0.19304
-0.981351,-0.184949
-0.980343,-0.172886
-0.979335,-0.158849
-0.978327,-0.14486
-0.977319,-0.132849
-0.97631,-0.124172
-0.975302,-0.119566
-0.974294,-0.119292
-0.973286,-0.123037
-0.972278,-0.13021
-0.97127,-0.139956
-0.970262,-0.151579
-0.969254,-0.164543
-0.968246,-0.178329
-0.967238,-0.19214
-0.96623,-0.204872
-0.965222,-0.215218
-0.964214,-0.221931
-0.963206,-0.223856
-0.962198,-0.220214
-0.96119,-0.210785
-0.960181,-0.196243
-0.959173,-0.178268
-0.958165,-0.159138
-0.957157,-0.141315
-0.956149,-0.126825
-0.955141,-0.117107
-0.954133,-0.112588
-0.953125,-0.112479
-0.952117,-0.114809
-0.951109,-0.116809
-0.950101,-0.115816
-0.949093,-0.109829
-0.948085,-0.0979606
-0.947077,-0.0804504
-0.946069,-0.0588294
-0.94506,-0.0359904
-0.944052,-0.0155434
-0.943044,-0.00105455
-0.942036,0.00494785
-0.941028,0.00120049
-0.94002,-0.0119522
-0.939012,-0.0325841
-0.938004,-0.0573952
-0.936996,-0.0822593
-0.935988,-0.10331
-0.93498,-0.117683
-0.933972,-0.124302
-0.932964,-0.123723
-0.931956,-0.118136
-0.930948,-0.110824
-0.92994,-0.105537
-0.928931,-0.105573
-0.927923,-0.112721
-0.926915,-0.126921
-0.925907,-0.145946
-0.924899,-0.166201
-0.923891,-0.183426
-0.922883,-0.193692
-0.921875,-0.194177
-0.920867,-0.183696
-0.919859,-0.163456
-0.918851,-0.136541
-0.917843,-0.107357
-0.916835,-0.0803714
-0.915827,-0.0594252
-0.914819,-0.0472369
-0.91381,-0.0447852
-0.912802,-0.0514878
-0.911794,-0.0650901
-0.910786,-0.0826686
-0.909778,-0.101143
-0.90877,-0.117905
-0.907762,-0.131073
-0.906754,-0.139473
-0.905746,-0.143022
-0.904738,-0.142304
-0.90373,-0.138522
-0.902722,-0.133017
-0.901714,-0.127316
-0.900706,-0.122938
-0.899698,-0.120986
-0.89869,-0.121998
-0.897681,-0.12567
-0.896673,-0.131018
-0.895665,-0.136178
-0.894657,-0.138594
-0.893649,-0.135421
-0.892641,-0.124146
-0.891633,-0.103241
-0.890625,-0.0724396
-0.889617,-0.0329144
-0.888609,0.0128299
-0.887601,0.0612516
-0.886593,0.108253
-0.885585,0.149937
-0.884577,0.183182
-0.883569,0.206023
-0.88256,0.217737
-0.881552,0.218763
-0.880544,0.210554
-0.879536,0.195115
-0.878528,0.174664
-0.87752,0.15132
-0.876512,0.127032
-0.875504,0.10341
-0.874496,0.0817109
-0.873488,0.0627668
-0.87248,0.0468947
-0.871472,0.033786
-0.870464,0.0224741
-0.869456,0.0115356
-0.868448,-0.000807945
-0.86744,-0.0162516
-0.866431,-0.0360559
-0.865423,-0.0605714
-0.864415,-0.0890925
-0.863407,-0.119843
-0.862399,-0.150225
-0.861391,-0.177252
-0.860383,-0.19803
-0.859375,-0.210304
-0.858367,-0.212893
-0.857359,-0.205947
-0.856351,-0.190751
-0.855343,-0.169415
-0.854335,-0.144385
