Time [us],Trace [arb. u.]
-2.02882,-3.94011e-05
-2.02482,0.000556933
-2.02082,-0.00177974
-2.01682,-0.000436923
-2.01282,0.000959221
-2.00882,-0.00128622
-2.00482,-0.00183124
-2.00082,0.000385793
-1.99682,-0.00091221
-1.99282,-0.00114083
-1.98882,-0.000563346
-1.98482,-0.00028302
-1.98082,-0.000707717
-1.97682,-0.000396476
-1.97282,-0.00010185
-1.96882,-0.000697077
-1.96482,-0.000708022
-1.96082,-0.00023426
-1.95682,0.000611272
-1.95282,-0.000472818
-1.94882,-0.000452239
-1.94482,-0.000428102
-1.94082,0.000878926
-1.93682,-0.000322269
-1.93282,-0.000437025
-1.92882,0.000443284
-1.92482,0.000444504
-1.92082,-0.000896499
-1.91682,0.000640063
-1.91282,0.0011557
-1.90882,-0.000138457
-1.90482,-0.000329667
-1.90082,0.00133362
-1.89682,0.000940664
-1.89282,-1.60885e-05
-1.88882,0.000350113
-1.88482,-0.000771081
-1.88082,0.000573356
-1.87682,0.000438314
-1.87282,2.45729e-05
-1.86882,0.000788082
-1.86482,-0.000117064
-1.86082,0.000998753
-1.85682,-0.000340409
-1.85282,0.000519118
-1.84882,0.000642808
-1.84482,-2.39949e-05
-1.84082,-0.000692514
-1.83682,0.000632665
-1.83282,0.000282276
-1.82882,-0.000476975
-1.82482,-8.50209e-05
-1.82082,0.000370184
-1.81682,0.000613001
-1.81282,-9.77051e-05
-1.80882,-0.000183568
-1.80482,-0.000339494
-1.80082,0.00068173
-1.79682,-0.000630867
-1.79282,-0.000239738
-1.78882,0.00159479
-1.78482,-0.000320439
-1.78082,-0.00149648
-1.77682,0.00109538
-1.77282,0.00070363
-1.76882,-0.000204046
-1.76482,0.00034991
-1.76082,-0.00041797
-1.75682,-5.83651e-05
-1.75282,0.000767706
-1.74882,-0.000160855
-1.74482,0.000880745
-1.74082,0.000285834
-1.73682,-0.000282319
-1.73282,0.00142092
-1.72882,0.000133252
-1.72482,0.000722289
-1.72082,0.000964293
-1.71682,0.000194289
-1.71282,0.00053615
-1.70882,0.00122291
-1.70482,0.000419554
-1.70082,4.19105e-05
-1.69682,0.000582787
-1.69282,-0.00116344
-1.68882,5.27536e-05
-1.68482,0.000209391
-1.68082,-0.000611813
-1.67682,-0.00027552
-1.67282,-0.00111893
-1.66882,-0.0012195
-1.66482,0.000288364
-1.66082,-0.00182861
-1.65682,-0.00198768
-1.65282,-8.3914e-05
-1.64882,-0.000147786
-1.64482,-0.00259842
-1.64082,0.000408711
-1.63682,0.000628203
-1.63282,-0.00211725
-1.62882,-0.000807281
-1.62482,0.000909242
-1.62082,-0.00160111
-1.61682,-0.00169265
-1.61282,0.00129409
-1.60882,-0.000478195
-1.60482,-0.000530908
-1.60082,0.000685886
-1.59682,-0.00121139
-1.59282,-0.000435703
-1.58882,-0.000335439
-1.58482,-0.00142703
-1.58082,0.000222063
-1.57682,-0.00154585
-1.57282,0.000420265
-1.56882,0.000596883
-1.56482,-0.00116982
-1.56082,0.000352846
-1.55682,-0.000518946
-1.55282,-0.000286984
-1.54882,0.000484849
-1.54482,-0.00047109
-1.54082,-0.000483255
-1.53682,-0.000178305
-1.53282,-0.000269138
-1.52882,-0.00055919
-1.52482,5.34652e-05
-1.52082,-0.000531517
-1.51682,0.000421587
-1.51282,-0.000330368
-1.50882,-0.000822179
-1.50482,0.00115317
-1.50082,-0.000640603
-1.49682,-0.000672138
-1.49282,0.00258409
-1.48882,-0.000643946
-1.48482,0.00063672
-1.48082,0.00123295
-1.47682,-0.000369199
-1.47282,0.00107094
-1.46882,-0.000955402
-1.46482,0.000800246
-1.46082,0.00138584
-1.45682,-0.000224433
-1.45282,-0.000130844
-1.44882,0.000270925
-1.44482,9.74699e-05
-1.44082,0.00058674
-1.43682,0.000757665
-1.43282,-0.000274097
-1.42882,0.000592003
-1.42482,0.000100813
-1.42082,-0.00128449
-1.41682,0.000482116
-1.41282,7.51626e-05
-1.40882,-0.000610898
-1.40482,0.000115406
-1.40082,-0.000441588
-1.39682,6.56297e-05
-1.39282,-0.000753247
-1.38882,0.000132337
-1.38482,-0.000465917
-1.38082,-0.000310907
-1.37682,0.000167317
-1.37282,0.000218313
-1.36882,-0.000461964
-1.36482,-0.000782342
-1.36082,0.000228355
-1.35682,0.0010387
-1.35282,-0.00013683
-1.34882,2.34548e-05
-1.34482,0.000288974
-1.34082,-0.000350551
-1.33682,0.000342308
-1.33282,0.000179787
-1.32882,-0.000540542
-1.32482,0.000724718
-1.32082,0.00148885
-1.31682,0.00122951
-1.31282,-0.00114833
-1.30882,0.00179502
-1.30482,0.000733031
-1.30082,-0.0019449
-1.29682,0.00158282
-1.29282,0.00252832
-1.28882,-0.00106306
-1.28482,0.00193716
-1.28082,0.000832188
-1.27682,0.000135477
-1.27282,0.00202567
-1.26882,0.000569911
-1.26482,0.000250854
-1.26082,0.0019107
-1.25682,0.00120112
-1.25282,-0.000564058
-1.24882,0.00178042
-1.24482,0.00145874
-1.24082,6.64429e-05
-1.23682,0.00220542
-1.23282,0.000677878
-1.22882,-0.000596903
-1.22482,0.000189929
-1.22082,0.000725328
-1.21682,0.000887239
-1.21282,-0.00107056
-1.20882,0.000613102
-1.20482,0.00142092
-1.20082,-0.000503021
-1.19682,-0.000889496
-1.19282,0.000785959
-1.18882,-8.86805e-05
-1.18482,-0.00203096
-1.18082,0.000376069
-1.17682,0.000570114
-1.17282,-0.000622452
-1.16882,-0.000783144
-1.16482,0.000589067
-1.16082,-0.000764598
-1.15682,-0.00155883
-1.15282,0.000369981
-1.14882,-0.000901571
-1.14482,-0.00102231
-1.14082,-0.000343955
-1.13682,-0.000715827
-1.13282,-0.000889496
-1.12882,-0.00171871
-1.12482,-0.00228615
-1.12082,0.000960238
-1.11682,-0.000479403
-1.11282,-0.00247473
-1.10882,0.000336017
-1.10482,0.00157552
-1.10082,-0.00185487
-1.09682,-0.000800278
-1.09282,0.0016986
-1.08882,0.000754322
-1.08482,-0.00149648
-1.08082,0.000686903
-1.07682,0.00134387
-1.07282,0.000275488
-1.06882,-0.000797037
-1.06482,0.000392186
-1.06082,0.00158323
-1.05682,-0.000471802
-1.05282,-7.36887e-06
-1.04882,0.000794678
-1.04482,0.000488904
-1.04082,-0.00109328
-1.03682,0.000522359
-1.03282,0.00127747
-1.02882,-0.00104603
-1.02482,-0.000760645
-1.02082,0.00109264
-1.01682,-0.00138121
-1.01282,-0.000864354
-1.00882,0.000860064
-1.00482,-0.00117215
-1.00082,-0.00234454
-0.996823,0.00135106
-0.992823,0.00107429
-0.988823,-0.00200725
-0.984823,0.000304595
-0.980823,0.000576191
-0.976823,0.00037748
-0.972823,-0.000953674
-0.968823,-0.000104188
-0.964823,0.000441149
-0.960823,-0.000744821
-0.956823,-0.000496537
-0.952823,0.00029557
-0.948823,-0.00125154
-0.944823,1.65649e-05
-0.940823,0.000549636
-0.936823,-0.00113759
-0.932823,0.00141828
-0.928823,0.000676658
-0.924823,-0.00153956
-0.920823,0.000560276
-0.916823,0.000695826
-0.912823,-3.41568e-06
-0.908823,-0.000548753
-0.904823,0.000868987
-0.900823,-7.52961e-05
-0.896823,-0.00109784
-0.892823,-0.000311008
-0.888823,-3.19013e-05
-0.884823,9.64533e-05
-0.880823,0.000135387
-0.876823,-8.20843e-05
-0.872823,-0.00173716
-0.868823,0.000303375
-0.864823,3.07886e-06
-0.860823,-0.00121879
-0.856823,-0.000333417
-0.852823,0.000313811
-0.848823,-0.000467442
-0.844823,-0.00168768
-0.840823,-0.000407319
-0.836823,-0.000367279
-0.832823,-0.00102231
-0.828823,-0.000912007
-0.824823,0.000212937
-0.820823,-5.25821e-05
-0.816823,-0.00106053
-0.812823,0.000162246
-0.808823,0.000298913
-0.804823,0.000644524
-0.800823,0.00033936
-0.796823,0.000261098
-0.792823,-0.00026549
-0.788823,0.000372014
-0.784823,-7.33647e-05
-0.780823,7.55692e-05
-0.776823,0.000335915
-0.772823,-0.000530603
-0.768823,-6.14034e-05
-0.764823,6.27947e-05
-0.760823,0.000578427
-0.756823,-0.000733571
-0.752823,0.000716913
-0.748823,0.000731212
-0.744823,-0.000837992
-0.740823,0.000178262
-0.736823,0.00117629
-0.732823,3.64325e-05
-0.728823,0.000233528
-0.724823,-0.00050982
-0.720823,0.000684474
-0.716823,-0.000109158
-0.712823,-0.0011754
-0.708823,0.000483019
-0.704823,-6.93098e-05
-0.700823,3.68878e-06
-0.696823,0.000351525
-0.692823,0.000168029
-0.688823,0.000542227
-0.684823,0.000980207
-0.680823,-0.000439668
-0.676823,-0.000235581
-0.672823,-0.000244301
-0.668823,0.00050614
-0.664823,0.000314828
-0.660823,-0.000298844
-0.656823,-0.00152537
-0.652823,-0.000798562
-0.648823,0.000145925
-0.644823,-0.00156714
-0.640823,-0.000866082
-0.636823,0.00018313
-0.632823,0.000223283
-0.628823,-0.00060167
-0.624823,-0.000610186
-0.620823,1.89933e-05
-0.616823,-0.000851986
-0.612823,7.7591e-05
-0.608823,-0.00106084
-0.604823,8.34756e-05
-0.600823,1.75736e-06
-0.596823,-0.0016816
-0.592823,-0.000922048
-0.588823,-0.000290226
-0.584823,-0.000905411
-0.580823,-0.000100032
-0.576823,-0.0014974
-0.572823,-0.000601771
-0.568823,0.000649697
-0.564823,-0.00128834
-0.560823,-1.65968e-05
-0.556823,7.1616e-05
-0.552823,-0.00022868
-0.548823,-0.000521985
-0.544823,0.000380225
-0.540823,6.07616e-05
-0.536823,-0.000978104
-0.532823,0.000941071
-0.528823,-0.000233142
-0.524823,-0.000210337
-0.520823,-0.000274413
-0.516823,0.00122201
-0.512823,8.15024e-06
-0.508823,-0.00150164
-0.504823,0.000931741
-0.500823,-0.00067355
-0.496823,-0.000296811
-0.492823,0.000919881
-0.488823,-0.00182526
-0.484823,0.00017877
-0.480823,0.000857534
-0.476823,-0.00120206
-0.472823,0.000312298
-0.468823,-0.000274808
-0.464823,0.000386912
-0.460823,-0.000494109
-0.456823,-0.000301272
-0.452823,0.00107905
-0.448823,-0.00157596
-0.444823,-0.00059234
-0.440823,0.00121663
-0.436823,-0.000774029
-0.432823,-0.000375592
-0.428823,0.000158598
-0.424823,0.000424218
-0.420823,-0.000225845
-0.416823,-0.000158426
-0.412823,-0.000254127
-0.408823,0.000227948
-0.404823,-0.00121159
-0.400823,-0.000153863
-0.396823,0.000486374
-0.392823,-0.00183012
-0.388823,-0.00138952
-0.384823,0.000986386
-0.380823,-0.000703357
-0.376823,-0.000624384
-0.372823,-0.000437126
-0.368823,3.7946e-05
-0.364823,-0.000956317
-0.360823,-0.000432767
-0.356823,0.00046488
-0.352823,0.00017249
-0.348823,0.000383568
-0.344823,0.000621618
-0.340823,0.000448457
-0.336823,0.00168563
-0.332823,0.000597176
-0.328823,0.00106629
-0.324823,0.00130322
-0.320823,-0.00108719
-0.316823,0.0015665
-0.312823,0.000603874
-0.308823,-0.000459942
-0.304823,0.000740034
-0.300823,0.000468528
-0.296823,-0.000508002
-0.292823,0.000854292
-0.288823,0.000888256
-0.284823,-0.000971215
-0.280823,-0.000968775
