Time [ms],Trace [mG]
-0.765625,-0.0333551
-0.764617,0.00125377
-0.763609,0.0388178
-0.762601,0.0768209
-0.761593,0.112673
-0.760585,0.14399
-0.759577,0.168648
-0.758569,0.185076
-0.75756,0.192353
-0.756552,0.190396
-0.755544,0.179987
-0.754536,0.1627
-0.753528,0.140658
-0.75252,0.116133
-0.751512,0.0912152
-0.750504,0.0676576
-0.749496,0.046882
-0.748488,0.0299366
-0.74748,0.0174616
-0.746472,0.00966153
-0.745464,0.00635954
-0.744456,0.00700887
-0.743448,0.0106697
-0.74244,0.0159061
-0.741431,0.0208404
-0.740423,0.0234145
-0.739415,0.0219293
-0.738407,0.0153962
-0.737399,0.00379969
-0.736391,-0.0117943
-0.735383,-0.0292809
-0.734375,-0.0456953
-0.733367,-0.0578628
-0.732359,-0.0629128
-0.731351,-0.0588692
-0.730343,-0.0448863
-0.729335,-0.0213454
-0.728327,0.0100763
-0.727319,0.046896
-0.72631,0.0862253
-0.725302,0.125377
-0.724294,0.162033
-0.723286,0.194334
-0.722278,0.221164
-0.72127,0.242151
-0.720262,0.257768
-0.719254,0.268803
-0.718246,0.276086
-0.717238,0.280341
-0.71623,0.282155
-0.715222,0.281727
-0.714214,0.278323
-0.713206,0.270258
-0.712198,0.255337
-0.71119,0.231521
-0.710181,0.197487
-0.709173,0.153067
-0.708165,0.0996819
-0.707157,0.040703
-0.706149,-0.0187845
-0.705141,-0.0725843
-0.704133,-0.114751
-0.703125,-0.14062
-0.702117,-0.147753
-0.701109,-0.136354
-0.700101,-0.109297
-0.699093,-0.0717894
-0.698085,-0.0301634
-0.697077,0.00920565
-0.696069,0.0413641
-0.69506,0.0634063
-0.694052,0.0748598
-0.693044,0.0774015
-0.692036,0.0742066
-0.691028,0.0692688
-0.69002,0.0662897
-0.689012,0.0681764
-0.688004,0.0764394
-0.686996,0.0913368
-0.685988,0.112001
-0.68498,0.136767
-0.683972,0.163617
-0.682964,0.19031
-0.681956,0.214925
-0.680948,0.235727
-0.67994,0.251359
-0.678931,0.260552
-0.677923,0.262303
-0.676915,0.25602
-0.675907,0.241507
-0.674899,0.219196
-0.673891,0.189881
-0.672883,0.155037
-0.671875,0.116561
-0.670867,0.0768972
-0.669859,0.0385756
-0.668851,0.00385874
-0.667843,-0.0253734
-0.666835,-0.0477543
-0.665827,-0.0623266
-0.664819,-0.0690015
-0.66381,-0.0684268
-0.662802,-0.0619847
-0.661794,-0.051295
-0.660786,-0.0381185
-0.659778,-0.0242192
-0.65877,-0.0111608
-0.657762,-9.21521e-05
-0.656754,0.00864306
-0.655746,0.0152729
-0.654738,0.0206969
-0.65373,0.0261773
-0.652722,0.0334564
-0.651714,0.0443951
-0.650706,0.0605507
-0.649698,0.082846
-0.64869,0.11117
-0.647681,0.144547
-0.646673,0.180739
-0.645665,0.21653
-0.644657,0.247918
-0.643649,0.271063
-0.642641,0.282938
-0.641633,0.281633
-0.640625,0.26676
-0.639617,0.239492
-0.638609,0.202907
-0.637601,0.161155
-0.636593,0.118831
-0.635585,0.0798131
-0.634577,0.0467986
-0.633569,0.0210518
-0.63256,0.00216783
-0.631552,-0.0116516
-0.630544,-0.0234851
-0.629536,-0.0364969
-0.628528,-0.0533451
-0.62752,-0.0755328
-0.626512,-0.103281
-0.625504,-0.135507
-0.624496,-0.169737
-0.623488,-0.202818
-0.62248,-0.23132
-0.621472,-0.252233
-0.620464,-0.2633
-0.619456,-0.263326
-0.618448,-0.252552
-0.61744,-0.232438
-0.616431,-0.205515
-0.615423,-0.1748
-0.614415,-0.143544
-0.613407,-0.115122
-0.612399,-0.0925016
-0.611391,-0.0777892
-0.610383,-0.0716663
-0.609375,-0.0736067
-0.608367,-0.0821677
-0.607359,-0.0950744
-0.606351,-0.109514
-0.605343,-0.122347
-0.604335,-0.13096
-0.603327,-0.133642
-0.602319,-0.129761
-0.60131,-0.119596
-0.600302,-0.10406
-0.599294,-0.0848185
-0.598286,-0.063841
-0.597278,-0.0432228
-0.59627,-0.0246585
-0.595262,-0.00953854
-0.594254,0.00118803
-0.593246,0.00704776
-0.592238,0.00809987
-0.59123,0.00490237
-0.590222,-0.00159738
-0.589214,-0.00985136
-0.588206,-0.0178968
-0.587198,-0.0234821
-0.58619,-0.0248345
-0.585181,-0.0207822
-0.584173,-0.0110762
-0.583165,0.00373795
-0.582157,0.0220287
-0.581149,0.041051
-0.580141,0.0576189
-0.579133,0.0688036
-0.578125,0.0727625
-0.577117,0.0684585
-0.576109,0.0558589
-0.575101,0.0359623
-0.574093,0.0109024
-0.573085,-0.0165087
-0.572077,-0.0436906
-0.571069,-0.0685733
-0.57006,-0.0897446
-0.569052,-0.106145
-0.568044,-0.117154
-0.567036,-0.12274
-0.566028,-0.123206
-0.56502,-0.118899
-0.564012,-0.109829
-0.563004,-0.0959683
-0.561996,-0.0775409
-0.560988,-0.0550823
-0.55998,-0.0294441
-0.558972,-0.0016236
-0.557964,0.0270173
-0.556956,0.0548751
-0.555948,0.0801438
-0.55494,0.101147
-0.553931,0.116646
-0.552923,0.125953
-0.551915,0.129053
-0.550907,0.12648
-0.549899,0.119494
-0.548891,0.1098
-0.547883,0.0993607
-0.546875,0.0898314
-0.545867,0.0823515
-0.544859,0.077472
-0.543851,0.0751043
-0.542843,0.0748431
-0.541835,0.0758763
-0.540827,0.0776456
-0.539819,0.0798901
-0.53881,0.0830049
-0.537802,0.0877656
-0.536794,0.0948155
-0.535786,0.104463
-0.534778,0.115951
-0.53377,0.127534
-0.532762,0.136072
-0.531754,0.137711
-0.530746,0.128757
-0.529738,0.106724
-0.52873,0.0715697
-0.527722,0.0262858
-0.526714,-0.0223039
-0.525706,-0.0636215
-0.524698,-0.0839727
-0.52369,-0.0676858
-0.522681,0.00112557
-0.521673,0.137223
-0.520665,0.352569
-0.519657,0.655295
-0.518649,1.04918
-0.517641,1.53348
-0.516633,2.10381
-0.515625,2.75267
-0.514617,3.47104
-0.513609,4.2493
-0.512601,5.07838
-0.511593,5.95049
-0.510585,6.85934
-0.509577,7.80064
-0.508569,8.77169
-0.50756,9.77164
-0.506552,10.8004
-0.505544,11.8586
-0.504536,12.9466
-0.503528,14.0643
-0.50252,15.2107
-0.501512,16.3825
-0.500504,17.575
-0.499496,18.7816
-0.498488,19.9951
-0.49748,21.2081
-0.496472,22.4142
-0.495464,23.6087
-0.494456,24.7891
-0.493448,25.9557
-0.49244,27.1108
-0.491431,28.2576
-0.490423,29.3999
-0.489415,30.5407
-0.488407,31.6823
-0.487399,32.8254
-0.486391,33.9699
-0.485383,35.1147
-0.484375,36.2587
-0.483367,37.4007
-0.482359,38.5398
-0.481351,39.6756
-0.480343,40.807
-0.479335,41.9334
-0.478327,43.0535
-0.477319,44.1661
-0.47631,45.2703
-0.475302,46.3654
-0.474294,47.4518
-0.473286,48.5304
-0.472278,49.6024
-0.47127,50.6691
-0.470262,51.7309
-0.469254,52.7874
-0.468246,53.8369
-0.467238,54.8767
-0.46623,55.9037
-0.465222,56.9147
-0.464214,57.9076
-0.463206,58.8814
-0.462198,59.8368
-0.46119,60.7763
-0.460181,61.7033
-0.459173,62.6223
-0.458165,63.5374
-0.457157,64.452
-0.456149,65.3681
-0.455141,66.2863
-0.454133,67.2063
-0.453125,68.1262
-0.452117,69.0437
-0.451109,69.9553
-0.450101,70.8579
-0.449093,71.7488
-0.448085,72.6255
-0.447077,73.4869
-0.446069,74.3323
-0.44506,75.1629
-0.444052,75.9813
-0.443044,76.7912
-0.442036,77.5972
-0.441028,78.404
-0.44002,79.2159
-0.439012,80.0364
-0.438004,80.8674
-0.436996,81.7085
-0.435988,82.5567
-0.43498,83.4076
-0.433972,84.2556
-0.432964,85.0952
-0.431956,85.9214
-0.430948,86.7303
-0.42994,87.5198
-0.428931,88.2895
-0.427923,89.0409
-0.426915,89.7761
-0.425907,90.4977
-0.424899,91.2083
-0.423891,91.9104
-0.422883,92.6064
-0.421875,93.2979
-0.420867,93.9864
-0.419859,94.6732
-0.418851,95.3593
-0.417843,96.0455
-0.416835,96.7324
-0.415827,97.4198
-0.414819,98.1072
-0.41381,98.7933
-0.412802,99.4765
-0.411794,100.155
-0.410786,100.827
-0.409778,101.491
-0.40877,102.146
-0.407762,102.79
-0.406754,103.425
-0.405746,104.049
-0.404738,104.664
-0.40373,105.269
-0.402722,105.864
-0.401714,106.45
-0.400706,107.026
-0.399698,107.591
-0.39869,108.143
-0.397681,108.683
-0.396673,109.208
-0.395665,109.72
-0.394657,110.22
-0.393649,110.707
-0.392641,111.185
-0.391633,111.652
-0.390625,112.111
-0.389617,112.56
-0.388609,112.998
-0.387601,113.424
-0.386593,113.835
-0.385585,114.233
-0.384577,114.616
-0.383569,114.987
-0.38256,115.349
-0.381552,115.706
-0.380544,116.062
-0.379536,116.42
-0.378528,116.783
-0.37752,117.151
-0.376512,117.525
-0.375504,117.902
-0.374496,118.281
-0.373488,118.659
-0.37248,119.036
-0.371472,119.411
-0.370464,119.784
-0.369456,120.155
-0.368448,120.525
-0.36744,120.895
-0.366431,121.263
-0.365423,121.629
-0.364415,121.991
-0.363407,122.347
-0.362399,122.697
-0.361391,123.04
-0.360383,123.376
-0.359375,123.706
-0.358367,124.028
-0.357359,124.344
-0.356351,124.652
-0.355343,124.951
-0.354335,125.239
-0.353327,125.514
-0.352319,125.776
-0.35131,126.023
-0.350302,126.254
-0.349294,126.471
-0.348286,126.674
-0.347278,126.864
-0.34627,127.042
-0.345262,127.21
-0.344254,127.368
-0.343246,127.517
-0.342238,127.658
-0.34123,127.791
-0.340222,127.917
-0.339214,128.038
-0.338206,128.155
-0.337198,128.269
-0.33619,128.38
-0.335181,128.485
-0.334173,128.585
-0.333165,128.677
-0.332157,128.759
-0.331149,128.828
-0.330141,128.884
-0.329133,128.926
-0.328125,128.957
-0.327117,128.978
-0.326109,128.991
-0.325101,128.998
-0.324093,129.001
-0.323085,129
-0.322077,128.995
-0.321069,128.982
-0.32006,128.96
-0.319052,128.927
-0.318044,128.882
-0.317036,128.826
-0.316028,128.761
-0.31502,128.691
-0.314012,128.619
-0.313004,128.549
-0.311996,128.485
-0.310988,128.427
-0.30998,128.377
-0.308972,128.333
-0.307964,128.29
-0.306956,128.247
-0.305948,128.199
-0.30494,128.144
-0.303931,128.08
-0.302923,128.007
-0.301915,127.928
-0.300907,127.844
-0.299899,127.758
-0.298891,127.671
-0.297883,127.586
-0.296875,127.502
-0.295867,127.415
-0.294859,127.323
-0.293851,127.221
-0.292843,127.107
-0.291835,126.977
-0.290827,126.831
-0.289819,126.668
-0.28881,126.491
-0.287802,126.302
-0.286794,126.106
-0.285786,125.904
-0.284778,125.699
-0.28377,125.491
-0.282762,125.279
-0.281754,125.061
-0.280746,124.838
-0.279738,124.607
-0.27873,124.372
-0.277722,124.133
-0.276714,123.893
-0.275706,123.657
-0.274698,123.425
-0.27369,123.198
-0.272681,122.976
-0.271673,122.755
-0.270665,122.53
-0.269657,122.296
-0.268649,122.047
-0.267641,121.781
-0.266633,121.494
-0.265625,121.188
-0.264617,120.864
-0.263609,120.525
-0.262601,120.174
-0.261593,119.815
-0.260585,119.451
-0.259577,119.083
-0.258569,118.714
-0.25756,118.346
-0.256552,117.979
-0.255544,117.616
-0.254536,117.257
-0.253528,116.904
-0.25252,116.557
-0.251512,116.217
-0.250504,115.883
-0.249496,115.553
-0.248488,115.224
-0.24748,114.893
-0.246472,114.556
-0.245464,114.21
-0.244456,113.851
-0.243448,113.478
-0.24244,113.089
-0.241431,112.686
-0.240423,112.272
-0.239415,111.851
-0.238407,111.426
-0.237399,111.001
-0.236391,110.58
-0.235383,110.163
-0.234375,109.75
-0.233367,109.337
-0.232359,108.921
-0.231351,108.498
-0.230343,108.066
-0.229335,107.623
-0.228327,107.169
-0.227319,106.707
-0.22631,106.241
-0.225302,105.774
-0.224294,105.31
-0.223286,104.851
-0.222278,104.397
-0.22127,103.949
-0.220262,103.504
-0.219254,103.059
-0.218246,102.612
-0.217238,102.159
-0.21623,101.7
-0.215222,101.233
-0.214214,100.757
-0.213206,100.274
-0.212198,99.7848
-0.21119,99.2905
-0.210181,98.7924
-0.209173,98.2914
-0.208165,97.7878
-0.207157,97.2815
-0.206149,96.7713
-0.205141,96.2557
-0.204133,95.7328
-0.203125,95.2013
-0.202117,94.6604
-0.201109,94.1103
-0.200101,93.5526
-0.199093,92.9901
-0.198085,92.4265
-0.197077,91.8659
-0.196069,91.3116
-0.19506,90.7658
-0.194052,90.2289
-0.193044,89.6999
-0.192036,89.1761
-0.191028,88.6537
-0.19002,88.1286
-0.189012,87.5974
-0.188004,87.058
-0.186996,86.5095
-0.185988,85.9528
-0.18498,85.3893
-0.183972,84.8217
-0.182964,84.2523
-0.181956,83.6831
-0.180948,83.115
-0.17994,82.5485
-0.178931,81.9831
-0.177923,81.4187
-0.176915,80.8548
-0.175907,80.2912
-0.174899,79.7275
-0.173891,79.1635
-0.172883,78.599
-0.171875,78.0333
-0.170867,77.4655
-0.169859,76.8946
-0.168851,76.3198
-0.167843,75.7406
-0.166835,75.1575
-0.165827,74.5705
-0.164819,73.9803
-0.16381,73.3873
-0.162802,72.7923
-0.161794,72.1959
-0.160786,71.5983
-0.159778,71.0003
-0.15877,70.4032
-0.157762,69.8095
-0.156754,69.2225
-0.155746,68.6457
-0.154738,68.0821
-0.15373,67.5339
-0.152722,67.0017
-0.151714,66.4833
-0.150706,65.9745
-0.149698,65.4688
-0.14869,64.9592
-0.147681,64.4384
-0.146673,63.9002
-0.145665,63.3402
-0.144657,62.7565
-0.143649,62.1494
-0.142641,61.5216
-0.141633,60.8772
-0.140625,60.2211
-0.139617,59.5586
-0.138609,58.8942
-0.137601,58.2318
-0.136593,57.574
-0.135585,56.9226
-0.134577,56.2787
-0.133569,55.6425
-0.13256,55.0138
-0.131552,54.392
-0.130544,53.7768
-0.129536,53.1676
-0.128528,52.5636
-0.12752,51.9638
-0.126512,51.3672
-0.125504,50.7729
-0.124496,50.1795
-0.123488,49.5854
-0.12248,48.9892
-0.121472,48.3901
-0.120464,47.7876
-0.119456,47.1818
-0.118448,46.5731
-0.11744,45.963
-0.116431,45.3534
-0.115423,44.746
-0.114415,44.1424
-0.113407,43.5435
-0.112399,42.9498
-0.111391,42.3607
-0.110383,41.7746
-0.109375,41.1893
-0.108367,40.6023
-0.107359,40.0123
-0.106351,39.4184
-0.105343,38.8211
-0.104335,38.222
-0.103327,37.6236
-0.102319,37.0288
-0.10131,36.4401
-0.100302,35.859
-0.0992944,35.2853
-0.0982863,34.7177
-0.0972782,34.1535
-0.0962702,33.5896
-0.0952621,33.0229
-0.094254,32.4506
-0.093246,31.8713
-0.0922379,31.2847
-0.0912298,30.6912
-0.0902218,30.0923
-0.0892137,29.489
-0.0882056,28.8827
-0.0871976,28.2743
-0.0861895,27.6647
-0.0851815,27.055
-0.0841734,26.4464
-0.0831653,25.8405
-0.0821573,25.2392
-0.0811492,24.6445
-0.0801411,24.0575
-0.0791331,23.4787
-0.078125,22.9071
-0.0771169,22.3412
-0.0761089,21.7785
-0.0751008,21.2161
-0.0740927,20.6517
-0.0730847,20.0839
-0.0720766,19.5126
-0.0710685,18.9386
-0.0700605,18.3635
-0.0690524,17.789
-0.0680444,17.2171
-0.0670363,16.649
-0.0660282,16.0854
-0.0650202,15.5261
-0.0640121,14.9708
-0.063004,14.4191
-0.061996,13.8706
-0.0609879,13.325
-0.0599798,12.7818
-0.0589718,12.2408
-0.0579637,11.7013
-0.0569556,11.1623
-0.0559476,10.6229
-0.0549395,10.0821
-0.0539315,9.53935
-0.0529234,8.99442
-0.0519153,8.44773
-0.0509073,7.90019
-0.0498992,7.35318
-0.0488911,6.80824
-0.0478831,6.26696
-0.046875,5.73072
-0.0458669,5.20062
-0.0448589,4.67746
-0.0438508,4.16157
-0.0428427,3.65293
-0.0418347,3.15102
-0.0408266,2.65519
-0.0398185,2.16455
-0.0388105,1.67827
-0.0378024,1.19596
-0.0367944,0.718102
-0.0357863,0.24642
-0.0347782,-0.21608
-0.0337702,-0.665055
-0.0327621,-1.09496
-0.031754,-1.49937
-0.030746,-1.87139
-0.0297379,-2.2044
-0.0287298,-2.49253
-0.0277218,-2.7311
-0.0267137,-2.9168
-0.0257056,-3.04796
-0.0246976,-3.12471
-0.0236895,-3.14881
-0.0226815,-3.12329
-0.0216734,-3.05196
-0.0206653,-2.93918
-0.0196573,-2.78943
-0.0186492,-2.60714
-0.0176411,-2.3965
-0.0166331,-2.16142
-0.015625,-1.90583
-0.0146169,-1.63379
-0.0136089,-1.35003
-0.0126008,-1.05992
-0.0115927,-0.769768
-0.0105847,-0.489302
-0.00957661,-0.23685
-0.00856855,-0.0473221
-0.00756048,0.023292
-0.00655242,-0.103403
-0.00554435,-0.525017
-0.00453629,-1.35022
-0.00352823,-2.68621
-0.00252016,-4.61724
-0.0015121,-7.18418
-0.000504032,-10.3639
0.000504032,-14.0617
0.0015121,-18.1141
0.00252016,-22.3011
0.00352823,-26.3698
0.00453629,-30.0631
0.00554435,-33.1585
0.00655242,-35.4955
0.00756048,-36.9928
0.00856855,-37.6497
0.00957661,-37.5363
0.0105847,-36.7776
0.0115927,-35.5307
0.0126008,-33.9626
0.0136089,-32.2265
0.0146169,-30.448
0.015625,-28.719
0.0166331,-27.0995
0.0176411,-25.6219
0.0186492,-24.2955
0.0196573,-23.1148
0.0206653,-22.0659
0.0216734,-21.1321
0.0226815,-20.2967
0.0236895,-19.5432
0.0246976,-18.8578
0.0257056,-18.2307
0.0267137,-17.6578
0.0277218,-17.1409
0.0287298,-16.6848
0.0297379,-16.295
0.030746,-15.9755
0.031754,-15.7271
0.0327621,-15.546
0.0337702,-15.4235
0.0347782,-15.3467
0.0357863,-15.3
0.0367944,-15.2666
0.0378024,-15.2314
0.0388105,-15.1822
0.0398185,-15.1112
0.0408266,-15.0151
0.0418347,-14.8947
0.0428427,-14.7537
0.0438508,-14.5976
0.0448589,-14.4322
0.0458669,-14.2627
0.046875,-14.0935
0.0478831,-13.928
0.0488911,-13.7682
0.0498992,-13.6149
0.0509073,-13.4678
0.0519153,-13.3252
0.0529234,-13.1851
0.0539315,-13.0446
0.0549395,-12.9005
0.0559476,-12.7496
0.0569556,-12.589
0.0579637,-12.4164
0.0589718,-12.2302
0.0599798,-12.0297
0.0609879,-11.8151
0.061996,-11.5874
0.063004,-11.3479
0.0640121,-11.0983
0.0650202,-10.8404
0.0660282,-10.5755
0.0670363,-10.3053
0.0680444,-10.0311
0.0690524,-9.75444
0.0700605,-9.47683
0.0710685,-9.20007
0.0720766,-8.92614
0.0730847,-8.65686
0.0740927,-8.39356
0.0751008,-8.13641
0.0761089,-7.88434
0.0771169,-7.63498
0.078125,-7.38497
0.0791331,-7.13074
0.0801411,-6.86904
0.0811492,-6.59811
0.0821573,-6.31834
0.0831653,-6.03292
0.0841734,-5.74749
0.0851815,-5.46923
0.0861895,-5.20602
0.0871976,-4.96506
0.0882056,-4.75197
0.0892137,-4.5697
0.0902218,-4.41838
0.0912298,-4.29542
0.0922379,-4.19652
0.093246,-4.11672
0.094254,-4.05154
0.0952621,-3.99779
0.0962702,-3.9538
0.0972782,-3.91951
0.0982863,-3.8957
0.0992944,-3.8836
0.100302,-3.88393
0.10131,-3.89649
0.102319,-3.91965
0.103327,-3.95092
0.104335,-3.98769
0.105343,-4.02796
0.106351,-4.07082
0.107359,-4.11664
0.108367,-4.1672
0.109375,-4.22521
0.110383,-4.29341
0.111391,-4.37333
0.112399,-4.46451
0.113407,-4.56437
0.114415,-4.66874
0.115423,-4.77232
0.116431,-4.86956
0.11744,-4.95538
0.118448,-5.02627
0.119456,-5.08035
0.120464,-5.11705
0.121472,-5.13607
0.12248,-5.13674
0.123488,-5.1174
0.124496,-5.07513
0.125504,-5.0058
0.126512,-4.90473
0.12752,-4.76775
0.128528,-4.59228
0.129536,-4.37813
0.130544,-4.12768
0.131552,-3.84573
0.13256,-3.53879
0.133569,-3.21426
0.134577,-2.87943
0.135585,-2.54081
0.136593,-2.20371
0.137601,-1.87193
0.138609,-1.54819
0.139617,-1.23435
0.140625,-0.932127
0.141633,-0.642982
0.142641,-0.368274
0.143649,-0.109066
0.144657,0.134063
0.145665,0.360987
0.146673,0.572421
0.147681,0.769592
0.14869,0.954279
0.149698,1.12797
0.150706,1.29171
0.151714,1.44587
0.152722,1.59016
0.15373,1.7238
0.154738,1.84552
0.155746,1.95428
0.156754,2.04926
0.157762,2.13042
0.15877,2.19843
0.159778,2.25468
0.160786,2.30091
0.161794,2.33862
0.162802,2.36911
0.16381,2.39313
0.164819,2.41091
0.165827,2.42192
0.166835,2.42508
0.167843,2.41893
0.168851,2.40195
0.169859,2.3727
0.170867,2.32989
0.171875,2.27256
0.172883,2.20062
0.173891,2.11519
0.174899,2.01866
0.175907,1.91461
0.176915,1.80779
0.177923,1.70431
0.178931,1.61092
0.17994,1.53436
0.180948,1.48035
0.181956,1.45324
0.182964,1.45541
0.183972,1.48685
0.18498,1.54508
0.185988,1.62549
0.186996,1.72264
0.188004,1.83087
0.189012,1.94499
0.19002,2.0604
0.191028,2.17365
0.192036,2.28275
0.193044,2.38678
0.194052,2.48554
0.19506,2.57882
0.196069,2.6668
0.197077,2.75004
0.198085,2.82952
0.199093,2.90629
0.200101,2.98147
0.201109,3.05635
0.202117,3.1324
0.203125,3.21092
0.204133,3.29251
0.205141,3.37727
0.206149,3.46497
0.207157,3.55581
0.208165,3.65032
0.209173,3.74943
0.210181,3.85413
0.21119,3.96539
0.212198,4.08384
0.213206,4.20892
0.214214,4.33864
0.215222,4.46927
0.21623,4.59597
0.217238,4.71318
0.218246,4.81548
0.219254,4.89825
0.220262,4.95822
0.22127,4.99391
0.222278,5.0054
0.223286,4.99422
0.224294,4.96255
0.225302,4.91266
0.22631,4.84655
0.227319,4.7658
0.228327,4.67181
0.229335,4.56573
0.230343,4.44906
0.231351,4.32373
0.232359,4.19214
0.233367,4.05712
0.234375,3.9217
0.235383,3.78897
0.236391,3.66134
0.237399,3.53996
0.238407,3.42434
0.239415,3.31255
0.240423,3.20191
0.241431,3.08925
0.24244,2.97135
0.243448,2.84552
0.244456,2.71084
0.245464,2.56892
0.246472,2.42346
0.24748,2.2794
