Time [ms],Trace [mG]
-0.724294,1.01029
-0.723286,-0.326202
-0.722278,0.598043
-0.72127,0.152744
-0.720262,-0.369087
-0.719254,0.0230182
-0.718246,1.34292
-0.717238,1.27617
-0.71623,-0.663175
-0.715222,0.00369724
-0.714214,-0.0292091
-0.713206,0.126993
-0.712198,0.898045
-0.71119,0.176637
-0.710181,-0.348721
-0.709173,1.42161
-0.708165,-0.00385448
-0.707157,0.720157
-0.706149,0.195574
-0.705141,-0.71476
-0.704133,-0.613159
-0.703125,-0.245018
-0.702117,-1.08877
-0.701109,-0.733869
-0.700101,0.0753316
-0.699093,-0.55365
-0.698085,0.500936
-0.697077,0.197039
-0.696069,1.38694
-0.69506,0.165544
-0.694052,-0.37266
-0.693044,0.372227
-0.692036,-0.190059
-0.691028,-0.175882
-0.69002,0.0629191
-0.689012,-0.415407
-0.688004,0.275114
-0.686996,0.0483501
-0.685988,-0.128311
-0.68498,-0.077969
-0.683972,1.15947
-0.682964,0.00661074
-0.681956,0.118578
-0.680948,-0.40165
-0.67994,0.625109
-0.678931,0.760108
-0.677923,-0.282748
-0.676915,0.486935
-0.675907,0.656134
-0.674899,0.9038
-0.673891,-0.79813
-0.672883,0.821897
-0.671875,0.401385
-0.670867,-0.675991
-0.669859,-0.381453
-0.668851,0.182277
-0.667843,0.895409
-0.666835,-0.218929
-0.665827,-0.732671
-0.664819,-0.687705
-0.66381,0.36002
-0.662802,-0.0429447
-0.661794,-0.43285
-0.660786,-0.0627583
-0.659778,0.485905
-0.65877,0.249458
-0.657762,-0.137158
-0.656754,0.12069
-0.655746,-0.526027
-0.654738,0.325841
-0.65373,-0.145199
-0.652722,0.01629
-0.651714,0.796304
-0.650706,-0.471444
-0.649698,0.00576937
-0.64869,-0.291359
-0.647681,0.0775607
-0.646673,-0.413191
-0.645665,0.801808
-0.644657,0.862703
-0.643649,-0.366217
-0.642641,0.426312
-0.641633,0.615168
-0.640625,1.00118
-0.639617,0.655057
-0.638609,0.600824
-0.637601,-0.790009
-0.636593,-0.114937
-0.635585,0.0238659
-0.634577,0.0946044
-0.633569,0.34227
-0.63256,-1.47105
-0.631552,0.237327
-0.630544,0.409094
-0.629536,0.881292
-0.628528,-0.557804
-0.62752,-0.202425
-0.626512,0.445758
-0.625504,-0.340399
-0.624496,0.00161673
-0.623488,-0.150779
-0.62248,-0.0816897
-0.621472,-0.682035
-0.620464,-1.48912
-0.619456,0.0944127
-0.618448,-0.199623
-0.61744,0.14492
-0.616431,0.245768
-0.615423,-1.24969
-0.614415,-0.391248
-0.613407,-0.127289
-0.612399,1.19019
-0.611391,-0.166651
-0.610383,-0.243996
-0.609375,-0.163508
-0.608367,0.211833
-0.607359,0.0657662
-0.606351,0.339425
-0.605343,-0.736404
-0.604335,-0.484214
-0.603327,-0.71255
-0.602319,0.89366
-0.60131,-1.02653
-0.600302,0.146293
-0.599294,-0.528682
-0.598286,0.554225
-0.597278,-0.153683
-0.59627,0.511666
-0.595262,-0.149696
-0.594254,-0.143989
-0.593246,-0.0652971
-0.592238,-0.483928
-0.59123,0.169874
-0.590222,0.520674
-0.589214,0.764316
-0.588206,-0.511834
-0.587198,0.0460428
-0.58619,-0.759733
-0.585181,0.259426
-0.584173,-0.104438
-0.583165,-0.562658
-0.582157,-0.594226
-0.581149,0.522817
-0.580141,1.69208
-0.579133,-0.869536
-0.578125,-0.0083012
-0.577117,0.129942
-0.576109,0.692762
-0.575101,0.201901
-0.574093,-0.242667
-0.573085,-0.391958
-0.572077,0.0996113
-0.571069,0.270973
-0.57006,-0.242542
-0.569052,-0.988943
-0.568044,0.127419
-0.567036,-0.523369
-0.566028,0.90928
-0.56502,0.111737
-0.564012,-0.764455
-0.563004,-0.418693
-0.561996,0.0511623
-0.560988,-0.493804
-0.55998,0.0887883
-0.558972,0.493325
-0.557964,-0.167451
-0.556956,-0.364766
-0.555948,0.732227
-0.55494,-0.271041
-0.553931,0.69435
-0.552923,-0.265992
-0.551915,0.16045
-0.550907,0.523025
-0.549899,0.333149
-0.548891,-0.430386
-0.547883,0.70574
-0.546875,-0.392851
-0.545867,0.206737
-0.544859,0.124963
-0.543851,-0.424605
-0.542843,0.110093
-0.541835,-0.289832
-0.540827,0.406886
-0.539819,0.497436
-0.53881,0.253262
-0.537802,0.62947
-0.536794,-0.909664
-0.535786,1.11697
-0.534778,-1.44291
-0.53377,-0.390174
-0.532762,0.763781
-0.531754,0.0986554
-0.530746,0.886016
-0.529738,0.336449
-0.52873,0.489154
-0.527722,0.37158
-0.526714,0.514341
-0.525706,-0.700353
-0.524698,-0.33849
-0.52369,-0.466945
-0.522681,-0.820362
-0.521673,-0.85138
