Time,Trace
-0.519808,0.48826882177081
-0.518816,-1.03882843946151
-0.517824,4.11465771661053
-0.516832,-0.795788841266942
-0.51584,0.850662792525089
-0.514848,2.61860698724006
-0.513856,-0.627385629880604
-0.512864,3.82494875005474
-0.511872,3.66546185400378
-0.51088,4.45269064581507
-0.509888,5.6648868950765
-0.508896,6.53242714646409
-0.507904,7.27572021429534
-0.506912,8.27142405290798
-0.50592,9.5612115694533
-0.504928,10.5188568048662
-0.503936,11.4685910715933
-0.502944,12.6791800848836
-0.501952,13.6612103541874
-0.50096,14.7600302805235
-0.499968,15.9735155918733
-0.498976,17.0886548252151
-0.497984,18.4757289893105
-0.496992,19.3519143809087
-0.496,20.6116381140132
-0.495008,21.8161781390609
-0.494016,23.20809722836
-0.493024,24.2049749563065
-0.492032,25.6688016173419
-0.49104,26.7563511171799
-0.490048,27.6835121506681
-0.489056,28.8131625937693
-0.488064,30.049583366367
-0.487072,30.8621480222754
-0.48608,31.9240332848163
-0.485088,32.7946944131668
-0.484096,34.2508252348171
-0.483104,35.0280929224419
-0.482112,36.5014256634544
-0.48112,37.5044215000535
-0.480128,38.3382198206907
-0.479136,39.8683213940767
-0.478144,40.8028475635026
-0.477152,41.8803040880052
-0.47616,42.8665223307608
-0.475168,44.3291921027223
-0.474176,44.9665588438016
-0.473184,46.1070517247848
-0.472192,47.1968695654814
-0.4712,48.0354287370642
-0.470208,49.1075777665653
-0.469216,50.3614392344364
-0.468224,51.3519080942678
-0.467232,52.4077858961075
-0.46624,53.2416482219039
-0.465248,54.516557465504
-0.464256,55.2282599840578
-0.463264,56.5689575709529
-0.462272,57.2754680150168
-0.46128,58.0110727053715
-0.460288,58.680503493994
-0.459296,59.8050908844624
-0.458304,61.0004920748815
-0.457312,61.8700238530885
-0.45632,62.643993657462
-0.455328,63.5100061217077
-0.454336,64.3873489960205
-0.453344,65.5160288567179
-0.452352,66.141159846505
-0.45136,67.1707307858544
-0.450368,67.9589322591422
-0.449376,69.0251809425653
-0.448384,69.9456912490191
-0.447392,70.6447124554678
-0.4464,71.8395133543021
-0.445408,72.7664990418036
-0.444416,72.94809180101
-0.443424,74.4287249358691
-0.442432,74.8858686551532
-0.44144,76.0391248258914
-0.440448,76.3923255742367
-0.439456,77.2845535744809
-0.438464,78.2691456533506
-0.437472,79.0596693912676
-0.43648,79.6686903501565
-0.435488,80.4755996765506
-0.434496,81.1360399523496
-0.433504,81.7351618641655
-0.432512,82.6760386389682
-0.43152,83.3150663176807
-0.430528,84.2842501892457
-0.429536,85.1255335892013
-0.428544,85.9168311907135
-0.427552,86.9299837825696
-0.42656,87.4672494662637
-0.425568,88.2926108980957
-0.424576,88.9848410441143
-0.423584,89.477897356829
-0.422592,90.1985135383018
-0.4216,91.1416598794006
-0.420608,91.7994602979829
-0.419616,92.4242790369661
-0.418624,93.2972355210104
-0.417632,93.9079697674006
-0.41664,94.563709648763
-0.415648,94.9033826538749
-0.414656,95.9837533497629
-0.413664,96.308946650694
-0.412672,97.150214173673
-0.41168,97.763386717692
-0.410688,98.3543970393104
-0.409696,99.1496919940497
-0.408704,100.033442875389
-0.407712,100.393446898437
-0.40672,100.66064947302
-0.405728,101.338312277059
-0.404736,102.021345895746
-0.403744,102.668854217339
-0.402752,102.90056975532
-0.40176,103.920844590136
-0.400768,104.126589774151
-0.399776,104.882974641606
-0.398784,105.133469227244
-0.397792,105.727276034007
-0.3968,106.451481099516
-0.395808,106.95262358092
-0.394816,107.237346334203
-0.393824,108.030478398559
-0.392832,108.692943731146
-0.39184,108.979156846397
-0.390848,109.273174423079
-0.389856,109.697259972344
-0.388864,110.210107609259
-0.387872,110.935005253684
-0.38688,111.291863065857
-0.385888,111.583598969955
-0.384896,112.075034169807
-0.383904,112.346939107768
-0.382912,112.869913916706
-0.38192,112.933114284824
-0.380928,113.60343404281
-0.379936,113.943449300174
-0.378944,114.597867889271
-0.377952,114.875407045161
-0.37696,114.954112224624
-0.375968,115.540581539239
-0.374976,116.028427658636
-0.373984,116.085947918466
-0.372992,116.304383000461
-0.372,116.820000988554
-0.371008,117.241438642261
-0.370016,117.530027471772
-0.369024,117.948057059688
-0.368032,118.221569548543
-0.36704,118.652806352338
-0.366048,118.706193847214
-0.365056,119.460170270702
-0.364064,119.651414588005
-0.363072,119.479832657257
-0.36208,119.926257190016
-0.361088,120.437522123709
-0.360096,120.667882901843
-0.359104,120.947784463363
-0.358112,121.131340230523
-0.35712,121.250325659259
-0.356128,121.767310327825
-0.355136,121.648433104642
-0.354144,121.922357244575
-0.353152,122.158540354775
-0.35216,122.710157404504
-0.351168,122.880485374936
-0.350176,123.175277237851
-0.349184,123.385494372266
-0.348192,123.764703491926
-0.3472,123.993573597538
-0.346208,124.238192611936
-0.345216,124.18190619775
-0.344224,124.672251328449
-0.343232,124.738550609467
-0.34224,124.714727297183
-0.341248,125.198091521855
-0.340256,125.427962125349
-0.339264,125.135226000255
-0.338272,125.170617245765
-0.33728,125.70162025502
-0.336288,125.60508998823
-0.335296,125.864164932382
-0.334304,125.855886121853
-0.333312,125.845633146405
-0.33232,125.839756661438
-0.331328,125.927721279019
-0.330336,126.066601701929
-0.329344,126.192312291784
-0.328352,126.283259462149
-0.32736,126.125671713033
-0.326368,126.463703416253
-0.325376,126.333701433529
-0.324384,126.468864395184
-0.323392,126.660163285058
-0.3224,126.486008473281
-0.321408,126.511110456302
-0.320416,126.653357486477
-0.319424,126.806147628947
-0.318432,126.661791724519
-0.31744,126.541025015077
-0.316448,126.64074293934
-0.315456,126.284735702923
-0.314464,126.625993223864
-0.313472,126.481121059294
-0.31248,126.5735012265
-0.311488,126.480247997484
-0.310496,126.474613073299
-0.309504,126.38935485788
-0.308512,126.361595750647
-0.30752,126.0945033009
-0.306528,125.881085284131
-0.305536,125.878186321621
-0.304544,126.02274651731
-0.303552,126.072321167632
-0.30256,125.93828188256
-0.301568,125.864818366513
-0.300576,125.486558507198
-0.299584,125.873799769702
-0.298592,125.712235710862
-0.2976,125.54476121072
-0.296608,125.350900065406
-0.295616,125.29405394349
-0.294624,125.431787023577
-0.293632,124.919101253069
-0.29264,124.822525455653
-0.291648,124.919950719773
-0.290656,124.758775001299
-0.289664,124.868170803543
-0.288672,124.772464348694
-0.28768,124.399009808985
-0.286688,124.041752363371
