Time [us],Trace [arb. u.]
-1.0227,-0.00147165
-1.0187,-0.00245102
-1.0147,-0.00257097
-1.0107,-0.00178537
-1.0067,-0.00356646
-1.0027,-0.00281198
-0.998704,-0.00244836
-0.994704,-0.00163629
-0.990704,-0.000291413
-0.986704,-0.00103322
-0.982704,-0.00120519
-0.978704,-0.00124266
-0.974704,8.12178e-05
-0.970704,-0.000603236
-0.966704,-0.00010376
-0.962704,-0.000901039
-0.958704,-0.000194354
-0.954704,0.00103046
-0.950704,0.00190722
-0.946704,0.000493307
-0.942704,0.000301889
-0.938704,0.000493641
-0.934704,0.000475299
-0.930704,-0.00113804
-0.926704,8.04376e-05
-0.922704,-0.000414691
-0.918704,0.000200272
-0.914704,0.000298991
-0.910704,-0.000949735
-0.906704,-0.00147521
-0.902704,-0.00184918
-0.898704,-0.000285407
-0.894704,-0.000337769
-0.890704,-0.000814668
-0.886704,0.000304997
-0.882704,-0.000330314
-0.878704,-0.00157715
-0.874704,-0.00154468
-0.870704,-0.000307972
-0.866704,-0.000110869
-0.862704,-0.00141808
-0.858704,-0.00096129
-0.854704,-0.00140362
-0.850704,-0.00323174
-0.846704,-0.00212097
-0.842704,-0.00201737
-0.838704,-0.000995868
-0.834704,-0.00187907
-0.830704,-0.00153168
-0.826704,0.000187268
-0.822704,-0.000720061
-0.818704,0.000390699
-0.814704,0.00140175
-0.810704,0.000643496
-0.806704,-0.00127778
-0.802704,-0.000543529
-0.798704,-0.000830111
-0.794704,-0.000191134
-0.790704,-0.00155569
-0.786704,-0.000637913
-0.782704,-0.00020503
-0.778704,0.000284538
-0.774704,-0.000849456
-0.770704,-0.00153102
-0.766704,-0.000976189
-0.762704,-0.00012744
-0.758704,-8.51956e-05
-0.754704,0.00189955
-0.750704,0.00127914
-0.746704,-0.000184026
-0.742704,0.000767331
-0.738704,0.00116308
-0.734704,0.000720083
-0.730704,-8.46383e-05
-0.726704,0.000429501
-0.722704,-0.000464502
-0.718704,-0.00119863
-0.714704,0.00100056
-0.710704,0.000494979
-0.706704,-0.000642471
-0.702704,-0.000374998
-0.698704,-0.000339763
-0.694704,0.000998331
-0.690704,-0.000248835
-0.686704,0.000821688
-0.682704,0.00106048
-0.678704,0.00213699
-0.674704,0.00128437
-0.670704,-0.000111872
-0.666704,0.00104057
-0.662704,0.00168111
-0.658704,0.000791345
-0.654704,0.000102012
-0.650704,0.00146512
-0.646704,-0.000344767
-0.642704,-0.00134515
-0.638704,0.000661838
-0.634704,0.00140543
-0.630704,-0.000243831
-0.626704,-0.000215148
-0.622704,-0.00159193
