x (mm),y (mm),intensity (arb. units)
-44.75,-44.75,5.458619738926432e-08
-44.25,-44.75,5.344900888070487e-08
-43.75,-44.75,5.4731426614626045e-08
-43.25,-44.75,5.835383440588953e-08
-42.75,-44.75,6.412720528245102e-08
-42.25,-44.75,7.1791905376339e-08
-41.75,-44.75,8.103635462496593e-08
-41.25,-44.75,9.151814845880788e-08
-40.75,-44.75,1.0288777265743486e-07
-40.25,-44.75,1.1481404953168583e-07
-39.75,-44.75,1.2700817704172829e-07
-39.25,-44.75,1.3924268930519156e-07
-38.75,-44.75,1.5136246314814412e-07
-38.25,-44.75,1.6328618565730461e-07
-37.75,-44.75,1.749993785014711e-07
-37.25,-44.75,1.8654047051556946e-07
-36.75,-44.75,1.9798335861763875e-07
-36.25,-44.75,2.0941916895859913e-07
-35.75,-44.75,2.209398469044364e-07
-35.25,-44.75,2.3262524126225838e-07
-34.75,-44.75,2.445345245926112e-07
-34.25,-44.75,2.567027206443684e-07
-33.75,-44.75,2.691416600423765e-07
-33.25,-44.75,2.8184480789762327e-07
-32.75,-44.75,2.947946834504707e-07
-32.25,-44.75,3.079710705533426e-07
-31.75,-44.75,3.213584920865621e-07
-31.25,-44.75,3.3495130580631834e-07
-30.75,-44.75,3.487555179218123e-07
-30.25,-44.75,3.627873967462737e-07
-29.75,-44.75,3.7706981732540825e-07
-29.25,-44.75,3.916273010009208e-07
-28.75,-44.75,4.064813934583724e-07
-28.25,-44.75,4.2164743159822064e-07
-27.75,-44.75,4.3713284291834744e-07
-27.25,-44.75,4.529368675361908e-07
-26.75,-44.75,4.690509938048968e-07
-26.25,-44.75,4.854595163841635e-07
-25.75,-44.75,5.021397434174166e-07
-25.25,-44.75,5.190616053576205e-07
-24.75,-44.75,5.361871836100684e-07
-24.25,-44.75,5.534704094918963e-07
-23.75,-44.75,5.708577156857734e-07
-23.25,-44.75,5.882899143252245e-07
-22.75,-44.75,6.057061768895233e-07
-22.25,-44.75,6.230501796743649e-07
-21.75,-44.75,6.402784795639976e-07
-21.25,-44.75,6.573695170120386e-07
-20.75,-44.75,6.743320195081847e-07
-20.25,-44.75,6.912105819053658e-07
-19.75,-44.75,7.080865274305701e-07
-19.25,-44.75,7.250732704924497e-07
-18.75,-44.75,7.423067838858749e-07
-18.25,-44.75,7.599324971105632e-07
-17.75,-44.75,7.780915599187578e-07
-17.25,-44.75,7.969087022413257e-07
-16.75,-44.75,8.164841895218155e-07
-16.25,-44.75,8.368899664992627e-07
-15.75,-44.75,8.581698191814027e-07
-15.25,-44.75,8.803418979989353e-07
