x [mm],y [mm],Beam dist
44.25,-44.75,4.3782e-05
44.75,-44.75,4.3782e-05
-44.75,-44.25,2.49862e-05
-44.25,-44.25,2.49862e-05
-43.75,-44.25,2.49862e-05
-43.25,-44.25,9.214e-05
-42.75,-44.25,0.000159294
-42.25,-44.25,0.000226448
-41.75,-44.25,0.000293601
-41.25,-44.25,0.000360755
-40.75,-44.25,0.000482464
-40.25,-44.25,0.000604173
-39.75,-44.25,0.000725882
-39.25,-44.25,0.000847591
-38.75,-44.25,0.0009693
-38.25,-44.25,0.000934236
-37.75,-44.25,0.000899172
-37.25,-44.25,0.000864108
-36.75,-44.25,0.000829044
-36.25,-44.25,0.00079398
-35.75,-44.25,0.000760955
-35.25,-44.25,0.000727931
-34.75,-44.25,0.000694907
-34.25,-44.25,0.000661883
-33.75,-44.25,0.000628858
-33.25,-44.25,0.000618871
-32.75,-44.25,0.000608883
-32.25,-44.25,0.000598895
-31.75,-44.25,0.000588907
-31.25,-44.25,0.000578919
-30.75,-44.25,0.000577562
-30.25,-44.25,0.000576205
-29.75,-44.25,0.000574849
-29.25,-44.25,0.000573492
-28.75,-44.25,0.000572135
-28.25,-44.25,0.000579652
-27.75,-44.25,0.00058717
-27.25,-44.25,0.000594687
-26.75,-44.25,0.000602205
-26.25,-44.25,0.000609723
-25.75,-44.25,0.000631698
-25.25,-44.25,0.000653674
-24.75,-44.25,0.00067565
-24.25,-44.25,0.000697625
-23.75,-44.25,0.000719601
-23.25,-44.25,0.000750055
-22.75,-44.25,0.000780509
-22.25,-44.25,0.000810963
-21.75,-44.25,0.000841417
-21.25,-44.25,0.000871871
-20.75,-44.25,0.000905431
-20.25,-44.25,0.00093899
-19.75,-44.25,0.00097255
-19.25,-44.25,0.00100611
-18.75,-44.25,0.00103967
-18.25,-44.25,0.00108442
-17.75,-44.25,0.00112918
-17.25,-44.25,0.00117393
-16.75,-44.25,0.00121869
-16.25,-44.25,0.00126344
-15.75,-44.25,0.00132312
-15.25,-44.25,0.00138279
-14.75,-44.25,0.00144246
-14.25,-44.25,0.00150214
-13.75,-44.25,0.00156181
-13.25,-44.25,0.00162072
-12.75,-44.25,0.00167963
-12.25,-44.25,0.00173853
-11.75,-44.25,0.00179744
-11.25,-44.25,0.00185635
-10.75,-44.25,0.00191971
-10.25,-44.25,0.00198306
-9.75,-44.25,0.00204642
-9.25,-44.25,0.00210977
-8.75,-44.25,0.00217313
-8.25,-44.25,0.00225107
-7.75,-44.25,0.00232902
-7.25,-44.25,0.00240696
-6.75,-44.25,0.0024849
-6.25,-44.25,0.00256284
-5.75,-44.25,0.00263925
-5.25,-44.25,0.00271566
-4.75,-44.25,0.00279207
-4.25,-44.25,0.00286848
-3.75,-44.25,0.00294489
-3.25,-44.25,0.00304057
-2.75,-44.25,0.00313625
