x [mm],y [mm],Beam dist
19.25,-43.75,0.00182913
19.75,-43.75,0.00176346
20.25,-43.75,0.00169779
20.75,-43.75,0.00163211
21.25,-43.75,0.00156644
21.75,-43.75,0.0015085
22.25,-43.75,0.00145056
22.75,-43.75,0.00139263
23.25,-43.75,0.00133469
23.75,-43.75,0.00127675
24.25,-43.75,0.00122895
24.75,-43.75,0.00118116
25.25,-43.75,0.00113336
25.75,-43.75,0.00108557
26.25,-43.75,0.00103777
26.75,-43.75,0.000994356
27.25,-43.75,0.00095094
27.75,-43.75,0.000907525
28.25,-43.75,0.000864109
28.75,-43.75,0.000820694
29.25,-43.75,0.000789088
29.75,-43.75,0.000757482
30.25,-43.75,0.000725875
30.75,-43.75,0.000694269
31.25,-43.75,0.000662663
31.75,-43.75,0.000629574
32.25,-43.75,0.000596485
32.75,-43.75,0.000563396
33.25,-43.75,0.000530307
33.75,-43.75,0.000497219
34.25,-43.75,0.000471342
34.75,-43.75,0.000445465
35.25,-43.75,0.000419588
35.75,-43.75,0.000393711
36.25,-43.75,0.000367835
36.75,-43.75,0.000332093
37.25,-43.75,0.000296351
37.75,-43.75,0.000260609
38.25,-43.75,0.000224867
38.75,-43.75,0.000189125
39.25,-43.75,0.000152407
39.75,-43.75,0.000115689
40.25,-43.75,7.89715e-05
40.75,-43.75,4.22535e-05
41.25,-43.75,5.53554e-06
41.75,-43.75,1.01212e-05
42.25,-43.75,1.47069e-05
42.75,-43.75,1.92926e-05
43.25,-43.75,2.38783e-05
43.75,-43.75,2.8464e-05
44.25,-43.75,2.8464e-05
44.75,-43.75,2.8464e-05
-44.75,-43.25,5.36956e-05
-44.25,-43.25,5.36956e-05
-43.75,-43.25,5.36956e-05
-43.25,-43.25,9.92543e-05
-42.75,-43.25,0.000144813
-42.25,-43.25,0.000190372
-41.75,-43.25,0.00023593
-41.25,-43.25,0.000281489
-40.75,-43.25,0.000333683
-40.25,-43.25,0.000385878
-39.75,-43.25,0.000438072
-39.25,-43.25,0.000490266
-38.75,-43.25,0.000542461
-38.25,-43.25,0.000532299
-37.75,-43.25,0.000522137
-37.25,-43.25,0.000511975
-36.75,-43.25,0.000501814
-36.25,-43.25,0.000491652
-35.75,-43.25,0.000483418
-35.25,-43.25,0.000475184
-34.75,-43.25,0.00046695
-34.25,-43.25,0.000458717
-33.75,-43.25,0.000450483
-33.25,-43.25,0.000455326
-32.75,-43.25,0.000460169
-32.25,-43.25,0.000465011
-31.75,-43.25,0.000469854
-31.25,-43.25,0.000474697
-30.75,-43.25,0.000480108
-30.25,-43.25,0.000485519
-29.75,-43.25,0.00049093
-29.25,-43.25,0.000496342
-28.75,-43.25,0.000501753
-28.25,-43.25,0.000519981
-27.75,-43.25,0.000538208
-27.25,-43.25,0.000556436
-26.75,-43.25,0.000574664
-26.25,-43.25,0.000592892
-25.75,-43.25,0.000616105
-25.25,-43.25,0.000639318
-24.75,-43.25,0.000662531
-24.25,-43.25,0.000685743
-23.75,-43.25,0.000708956
-23.25,-43.25,0.000744137
-22.75,-43.25,0.000779317
-22.25,-43.25,0.000814498
-21.75,-43.25,0.000849678
-21.25,-43.25,0.000884858
-20.75,-43.25,0.000930454
-20.25,-43.25,0.00097605
-19.75,-43.25,0.00102165
-19.25,-43.25,0.00106724
-18.75,-43.25,0.00111284
-18.25,-43.25,0.00115591
-17.75,-43.25,0.00119897
-17.25,-43.25,0.00124204
-16.75,-43.25,0.0012851
-16.25,-43.25,0.00132817
-15.75,-43.25,0.00139952
-15.25,-43.25,0.00147087
-14.75,-43.25,0.00154221
-14.25,-43.25,0.00161356
-13.75,-43.25,0.00168491
-13.25,-43.25,0.00176117
-12.75,-43.25,0.00183743
-12.25,-43.25,0.00191369
-11.75,-43.25,0.00198995
-11.25,-43.25,0.0020662
-10.75,-43.25,0.00215892
-10.25,-43.25,0.00225164
-9.75,-43.25,0.00234436
-9.25,-43.25,0.00243707
-8.75,-43.25,0.00252979
-8.25,-43.25,0.00262153
-7.75,-43.25,0.00271328
-7.25,-43.25,0.00280502
-6.75,-43.25,0.00289676
-6.25,-43.25,0.0029885
-5.75,-43.25,0.00310231
-5.25,-43.25,0.00321612
-4.75,-43.25,0.00332992
-4.25,-43.25,0.00344373
-3.75,-43.25,0.00355754
-3.25,-43.25,0.00364961
-2.75,-43.25,0.00374169
-2.25,-43.25,0.00383377
-1.75,-43.25,0.00392585
-1.25,-43.25,0.00401793
-0.75,-43.25,0.00410323
-0.25,-43.25,0.00418853
0.25,-43.25,0.00427383
0.75,-43.25,0.00435913
1.25,-43.25,0.00444443
1.75,-43.25,0.00449649
2.25,-43.25,0.00454854
2.75,-43.25,0.0046006
3.25,-43.25,0.00465266
3.75,-43.25,0.00470471
4.25,-43.25,0.00469705
4.75,-43.25,0.00468939
5.25,-43.25,0.00468173
5.75,-43.25,0.00467408
6.25,-43.25,0.00466642
6.75,-43.25,0.00462586
7.25,-43.25,0.0045853
7.75,-43.25,0.00454474
8.25,-43.25,0.00450418
8.75,-43.25,0.00446362
9.25,-43.25,0.00437228
9.75,-43.25,0.00428093
10.25,-43.25,0.00418959
10.75,-43.25,0.00409824
11.25,-43.25,0.0040069
11.75,-43.25,0.00389707
12.25,-43.25,0.00378725
12.75,-43.25,0.00367742
13.25,-43.25,0.0035676
13.75,-43.25,0.00345777
14.25,-43.25,0.00333717
14.75,-43.25,0.00321656
15.25,-43.25,0.00309596
15.75,-43.25,0.00297535
16.25,-43.25,0.00285475
16.75,-43.25,0.0027351
17.25,-43.25,0.00261544
17.75,-43.25,0.00249579
18.25,-43.25,0.00237614
18.75,-43.25,0.00225649
19.25,-43.25,0.0021709
19.75,-43.25,0.00208532
20.25,-43.25,0.00199973
20.75,-43.25,0.00191415
21.25,-43.25,0.00182856
21.75,-43.25,0.0017548
22.25,-43.25,0.00168104
22.75,-43.25,0.00160728
23.25,-43.25,0.00153351
23.75,-43.25,0.00145975
24.25,-43.25,0.00140085
24.75,-43.25,0.00134196
25.25,-43.25,0.00128306
25.75,-43.25,0.00122417
26.25,-43.25,0.00116527
26.75,-43.25,0.00111294
27.25,-43.25,0.0010606
27.75,-43.25,0.00100826
28.25,-43.25,0.000955928
28.75,-43.25,0.000903592
29.25,-43.25,0.000866526
29.75,-43.25,0.00082946
30.25,-43.25,0.000792394
30.75,-43.25,0.000755328
31.25,-43.25,0.000718262
31.75,-43.25,0.000682636
32.25,-43.25,0.00064701
32.75,-43.25,0.000611385
33.25,-43.25,0.000575759
33.75,-43.25,0.000540133
34.25,-43.25,0.000511663
34.75,-43.25,0.000483192
35.25,-43.25,0.000454721
35.75,-43.25,0.00042625
36.25,-43.25,0.000397779
36.75,-43.25,0.000359056
37.25,-43.25,0.000320333
37.75,-43.25,0.000281609
38.25,-43.25,0.000242886
38.75,-43.25,0.000204163
39.25,-43.25,0.000167219
39.75,-43.25,0.000130276
40.25,-43.25,9.3332e-05
40.75,-43.25,5.63884e-05
41.25,-43.25,1.94447e-05
41.75,-43.25,2.6564e-05
42.25,-43.25,3.36833e-05
42.75,-43.25,4.08026e-05
43.25,-43.25,4.79218e-05
43.75,-43.25,5.50411e-05
44.25,-43.25,5.50411e-05
44.75,-43.25,5.50411e-05
-44.75,-42.75,8.04685e-05
-44.25,-42.75,8.04685e-05
-43.75,-42.75,8.04685e-05
-43.25,-42.75,0.000133603
-42.75,-42.75,0.000186737
-42.25,-42.75,0.000239871
-41.75,-42.75,0.000293005
-41.25,-42.75,0.000346139
-40.75,-42.75,0.000395783
-40.25,-42.75,0.000445428
-39.75,-42.75,0.000495072
-39.25,-42.75,0.000544717
-38.75,-42.75,0.000594361
-38.25,-42.75,0.000581871
-37.75,-42.75,0.000569381
-37.25,-42.75,0.000556891
-36.75,-42.75,0.000544401
-36.25,-42.75,0.000531911
-35.75,-42.75,0.000524427
-35.25,-42.75,0.000516942
-34.75,-42.75,0.000509458
-34.25,-42.75,0.000501974
-33.75,-42.75,0.00049449
-33.25,-42.75,0.000501237
-32.75,-42.75,0.000507985
-32.25,-42.75,0.000514732
-31.75,-42.75,0.00052148
-31.25,-42.75,0.000528227
-30.75,-42.75,0.000536488
-30.25,-42.75,0.000544749
-29.75,-42.75,0.000553009
-29.25,-42.75,0.00056127
-28.75,-42.75,0.000569531
-28.25,-42.75,0.000590053
-27.75,-42.75,0.000610575
-27.25,-42.75,0.000631097
-26.75,-42.75,0.000651619
-26.25,-42.75,0.000672141
-25.75,-42.75,0.000699263
-25.25,-42.75,0.000726385
